1   Shake chance is 25.395% || Chance to catch:  0.416% || AVG Balls needed: 240
41  Shake chance is 63.998% || Chance to catch: 16.776% || AVG Balls needed: 5
42  Shake chance is 63.998% || Chance to catch: 16.776% || AVG Balls needed: 5
43  Shake chance is 66.666% || Chance to catch: 19.752% || AVG Balls needed: 5
44  Shake chance is 66.666% || Chance to catch: 19.752% || AVG Balls needed: 5
45  Shake chance is 66.666% || Chance to catch: 19.752% || AVG Balls needed: 5
46  Shake chance is 66.666% || Chance to catch: 19.752% || AVG Balls needed: 5
47  Shake chance is 66.666% || Chance to catch: 19.752% || AVG Balls needed: 5
48  Shake chance is 66.666% || Chance to catch: 19.752% || AVG Balls needed: 5
49  Shake chance is 66.666% || Chance to catch: 19.752% || AVG Balls needed: 5
50  Shake chance is 66.666% || Chance to catch: 19.752% || AVG Balls needed: 5
51  Shake chance is 69.563% || Chance to catch: 23.416% || AVG Balls needed: 4
52  Shake chance is 69.563% || Chance to catch: 23.416% || AVG Balls needed: 4
53  Shake chance is 69.563% || Chance to catch: 23.416% || AVG Balls needed: 4
54  Shake chance is 69.563% || Chance to catch: 23.416% || AVG Balls needed: 4
55  Shake chance is 69.563% || Chance to catch: 23.416% || AVG Balls needed: 4
56  Shake chance is 69.563% || Chance to catch: 23.416% || AVG Balls needed: 4
57  Shake chance is 69.563% || Chance to catch: 23.416% || AVG Balls needed: 4
58  Shake chance is 69.563% || Chance to catch: 23.416% || AVG Balls needed: 4
59  Shake chance is 69.563% || Chance to catch: 23.416% || AVG Balls needed: 4
60  Shake chance is 72.725% || Chance to catch: 27.973% || AVG Balls needed: 3
61  Shake chance is 72.725% || Chance to catch: 27.973% || AVG Balls needed: 3
62  Shake chance is 72.725% || Chance to catch: 27.973% || AVG Balls needed: 3
63  Shake chance is 72.725% || Chance to catch: 27.973% || AVG Balls needed: 3
64  Shake chance is 72.725% || Chance to catch: 27.973% || AVG Balls needed: 3
65  Shake chance is 72.725% || Chance to catch: 27.973% || AVG Balls needed: 3
66  Shake chance is 72.725% || Chance to catch: 27.973% || AVG Balls needed: 3
67  Shake chance is 72.725% || Chance to catch: 27.973% || AVG Balls needed: 3
68  Shake chance is 72.725% || Chance to catch: 27.973% || AVG Balls needed: 3
69  Shake chance is 72.725% || Chance to catch: 27.973% || AVG Balls needed: 3
70  Shake chance is 72.725% || Chance to catch: 27.973% || AVG Balls needed: 3
71  Shake chance is 72.725% || Chance to catch: 27.973% || AVG Balls needed: 3
72  Shake chance is 76.189% || Chance to catch: 33.695% || AVG Balls needed: 2
73  Shake chance is 76.189% || Chance to catch: 33.695% || AVG Balls needed: 2
74  Shake chance is 76.189% || Chance to catch: 33.695% || AVG Balls needed: 2
75  Shake chance is 76.189% || Chance to catch: 33.695% || AVG Balls needed: 2
76  Shake chance is 76.189% || Chance to catch: 33.695% || AVG Balls needed: 2
77  Shake chance is 76.189% || Chance to catch: 33.695% || AVG Balls needed: 2
78  Shake chance is 76.189% || Chance to catch: 33.695% || AVG Balls needed: 2
79  Shake chance is 76.189% || Chance to catch: 33.695% || AVG Balls needed: 2
80  Shake chance is 76.189% || Chance to catch: 33.695% || AVG Balls needed: 2
81  Shake chance is 76.189% || Chance to catch: 33.695% || AVG Balls needed: 2
82  Shake chance is 76.189% || Chance to catch: 33.695% || AVG Balls needed: 2
83  Shake chance is 76.189% || Chance to catch: 33.695% || AVG Balls needed: 2
84  Shake chance is 76.189% || Chance to catch: 33.695% || AVG Balls needed: 2
85  Shake chance is 76.189% || Chance to catch: 33.695% || AVG Balls needed: 2
86  Shake chance is 79.999% || Chance to catch: 40.958% || AVG Balls needed: 2
87  Shake chance is 79.999% || Chance to catch: 40.958% || AVG Balls needed: 2
88  Shake chance is 79.999% || Chance to catch: 40.958% || AVG Balls needed: 2
89  Shake chance is 79.999% || Chance to catch: 40.958% || AVG Balls needed: 2
90  Shake chance is 79.999% || Chance to catch: 40.958% || AVG Balls needed: 2
91  Shake chance is 79.999% || Chance to catch: 40.958% || AVG Balls needed: 2
92  Shake chance is 79.999% || Chance to catch: 40.958% || AVG Balls needed: 2
93  Shake chance is 79.999% || Chance to catch: 40.958% || AVG Balls needed: 2
94  Shake chance is 79.999% || Chance to catch: 40.958% || AVG Balls needed: 2
95  Shake chance is 79.999% || Chance to catch: 40.958% || AVG Balls needed: 2
96  Shake chance is 79.999% || Chance to catch: 40.958% || AVG Balls needed: 2
97  Shake chance is 79.999% || Chance to catch: 40.958% || AVG Balls needed: 2
98  Shake chance is 79.999% || Chance to catch: 40.958% || AVG Balls needed: 2
99  Shake chance is 79.999% || Chance to catch: 40.958% || AVG Balls needed: 2
100 Shake chance is 79.999% || Chance to catch: 40.958% || AVG Balls needed: 2
101 Shake chance is 79.999% || Chance to catch: 40.958% || AVG Balls needed: 2
102 Shake chance is 79.999% || Chance to catch: 40.958% || AVG Balls needed: 2
103 Shake chance is 79.999% || Chance to catch: 40.958% || AVG Balls needed: 2
104 Shake chance is 79.999% || Chance to catch: 40.958% || AVG Balls needed: 2
105 Shake chance is 84.209% || Chance to catch: 50.284% || AVG Balls needed: 1
106 Shake chance is 84.209% || Chance to catch: 50.284% || AVG Balls needed: 1
107 Shake chance is 84.209% || Chance to catch: 50.284% || AVG Balls needed: 1
108 Shake chance is 84.209% || Chance to catch: 50.284% || AVG Balls needed: 1
109 Shake chance is 84.209% || Chance to catch: 50.284% || AVG Balls needed: 1
110 Shake chance is 84.209% || Chance to catch: 50.284% || AVG Balls needed: 1
111 Shake chance is 84.209% || Chance to catch: 50.284% || AVG Balls needed: 1
112 Shake chance is 84.209% || Chance to catch: 50.284% || AVG Balls needed: 1
113 Shake chance is 84.209% || Chance to catch: 50.284% || AVG Balls needed: 1
114 Shake chance is 84.209% || Chance to catch: 50.284% || AVG Balls needed: 1
115 Shake chance is 84.209% || Chance to catch: 50.284% || AVG Balls needed: 1
116 Shake chance is 84.209% || Chance to catch: 50.284% || AVG Balls needed: 1
117 Shake chance is 84.209% || Chance to catch: 50.284% || AVG Balls needed: 1
118 Shake chance is 84.209% || Chance to catch: 50.284% || AVG Balls needed: 1
119 Shake chance is 84.209% || Chance to catch: 50.284% || AVG Balls needed: 1
120 Shake chance is 84.209% || Chance to catch: 50.284% || AVG Balls needed: 1
121 Shake chance is 84.209% || Chance to catch: 50.284% || AVG Balls needed: 1
122 Shake chance is 84.209% || Chance to catch: 50.284% || AVG Balls needed: 1
123 Shake chance is 84.209% || Chance to catch: 50.284% || AVG Balls needed: 1
124 Shake chance is 84.209% || Chance to catch: 50.284% || AVG Balls needed: 1
125 Shake chance is 84.209% || Chance to catch: 50.284% || AVG Balls needed: 1
126 Shake chance is 84.209% || Chance to catch: 50.284% || AVG Balls needed: 1
127 Shake chance is 84.209% || Chance to catch: 50.284% || AVG Balls needed: 1
128 Shake chance is 84.209% || Chance to catch: 50.284% || AVG Balls needed: 1
129 Shake chance is 88.887% || Chance to catch: 62.424% || AVG Balls needed: 1
130 Shake chance is 88.887% || Chance to catch: 62.424% || AVG Balls needed: 1
131 Shake chance is 88.887% || Chance to catch: 62.424% || AVG Balls needed: 1
132 Shake chance is 88.887% || Chance to catch: 62.424% || AVG Balls needed: 1
133 Shake chance is 88.887% || Chance to catch: 62.424% || AVG Balls needed: 1
134 Shake chance is 88.887% || Chance to catch: 62.424% || AVG Balls needed: 1
135 Shake chance is 88.887% || Chance to catch: 62.424% || AVG Balls needed: 1
136 Shake chance is 88.887% || Chance to catch: 62.424% || AVG Balls needed: 1
137 Shake chance is 88.887% || Chance to catch: 62.424% || AVG Balls needed: 1
138 Shake chance is 88.887% || Chance to catch: 62.424% || AVG Balls needed: 1
139 Shake chance is 88.887% || Chance to catch: 62.424% || AVG Balls needed: 1
140 Shake chance is 88.887% || Chance to catch: 62.424% || AVG Balls needed: 1
141 Shake chance is 88.887% || Chance to catch: 62.424% || AVG Balls needed: 1
142 Shake chance is 88.887% || Chance to catch: 62.424% || AVG Balls needed: 1
143 Shake chance is 88.887% || Chance to catch: 62.424% || AVG Balls needed: 1
144 Shake chance is 88.887% || Chance to catch: 62.424% || AVG Balls needed: 1
145 Shake chance is 88.887% || Chance to catch: 62.424% || AVG Balls needed: 1
146 Shake chance is 88.887% || Chance to catch: 62.424% || AVG Balls needed: 1
147 Shake chance is 88.887% || Chance to catch: 62.424% || AVG Balls needed: 1
148 Shake chance is 88.887% || Chance to catch: 62.424% || AVG Balls needed: 1
149 Shake chance is 88.887% || Chance to catch: 62.424% || AVG Balls needed: 1
150 Shake chance is 88.887% || Chance to catch: 62.424% || AVG Balls needed: 1
151 Shake chance is 88.887% || Chance to catch: 62.424% || AVG Balls needed: 1
152 Shake chance is 88.887% || Chance to catch: 62.424% || AVG Balls needed: 1
153 Shake chance is 88.887% || Chance to catch: 62.424% || AVG Balls needed: 1
154 Shake chance is 88.887% || Chance to catch: 62.424% || AVG Balls needed: 1
155 Shake chance is 88.887% || Chance to catch: 62.424% || AVG Balls needed: 1
156 Shake chance is 88.887% || Chance to catch: 62.424% || AVG Balls needed: 1
157 Shake chance is 88.887% || Chance to catch: 62.424% || AVG Balls needed: 1
158 Shake chance is 88.887% || Chance to catch: 62.424% || AVG Balls needed: 1
159 Shake chance is 88.887% || Chance to catch: 62.424% || AVG Balls needed: 1
160 Shake chance is 94.116% || Chance to catch: 78.462% || AVG Balls needed: 1
161 Shake chance is 94.116% || Chance to catch: 78.462% || AVG Balls needed: 1
162 Shake chance is 94.116% || Chance to catch: 78.462% || AVG Balls needed: 1
163 Shake chance is 94.116% || Chance to catch: 78.462% || AVG Balls needed: 1
164 Shake chance is 94.116% || Chance to catch: 78.462% || AVG Balls needed: 1
165 Shake chance is 94.116% || Chance to catch: 78.462% || AVG Balls needed: 1
166 Shake chance is 94.116% || Chance to catch: 78.462% || AVG Balls needed: 1
167 Shake chance is 94.116% || Chance to catch: 78.462% || AVG Balls needed: 1
168 Shake chance is 94.116% || Chance to catch: 78.462% || AVG Balls needed: 1
169 Shake chance is 94.116% || Chance to catch: 78.462% || AVG Balls needed: 1
170 Shake chance is 94.116% || Chance to catch: 78.462% || AVG Balls needed: 1
171 Shake chance is 94.116% || Chance to catch: 78.462% || AVG Balls needed: 1
172 Shake chance is 94.116% || Chance to catch: 78.462% || AVG Balls needed: 1
173 Shake chance is 94.116% || Chance to catch: 78.462% || AVG Balls needed: 1
174 Shake chance is 94.116% || Chance to catch: 78.462% || AVG Balls needed: 1
175 Shake chance is 94.116% || Chance to catch: 78.462% || AVG Balls needed: 1
176 Shake chance is 94.116% || Chance to catch: 78.462% || AVG Balls needed: 1
177 Shake chance is 94.116% || Chance to catch: 78.462% || AVG Balls needed: 1
178 Shake chance is 94.116% || Chance to catch: 78.462% || AVG Balls needed: 1
179 Shake chance is 94.116% || Chance to catch: 78.462% || AVG Balls needed: 1
180 Shake chance is 94.116% || Chance to catch: 78.462% || AVG Balls needed: 1
181 Shake chance is 94.116% || Chance to catch: 78.462% || AVG Balls needed: 1
182 Shake chance is 94.116% || Chance to catch: 78.462% || AVG Balls needed: 1
183 Shake chance is 94.116% || Chance to catch: 78.462% || AVG Balls needed: 1
184 Shake chance is 94.116% || Chance to catch: 78.462% || AVG Balls needed: 1
185 Shake chance is 94.116% || Chance to catch: 78.462% || AVG Balls needed: 1
186 Shake chance is 94.116% || Chance to catch: 78.462% || AVG Balls needed: 1
187 Shake chance is 94.116% || Chance to catch: 78.462% || AVG Balls needed: 1
188 Shake chance is 94.116% || Chance to catch: 78.462% || AVG Balls needed: 1
189 Shake chance is 94.116% || Chance to catch: 78.462% || AVG Balls needed: 1
190 Shake chance is 94.116% || Chance to catch: 78.462% || AVG Balls needed: 1
191 Shake chance is 94.116% || Chance to catch: 78.462% || AVG Balls needed: 1
192 Shake chance is 94.116% || Chance to catch: 78.462% || AVG Balls needed: 1
193 Shake chance is 94.116% || Chance to catch: 78.462% || AVG Balls needed: 1
194 Shake chance is 94.116% || Chance to catch: 78.462% || AVG Balls needed: 1
195 Shake chance is 94.116% || Chance to catch: 78.462% || AVG Balls needed: 1
196 Shake chance is 94.116% || Chance to catch: 78.462% || AVG Balls needed: 1
197 Shake chance is 94.116% || Chance to catch: 78.462% || AVG Balls needed: 1
198 Shake chance is 94.116% || Chance to catch: 78.462% || AVG Balls needed: 1
199 Shake chance is 94.116% || Chance to catch: 78.462% || AVG Balls needed: 1
200 Shake chance is 94.116% || Chance to catch: 78.462% || AVG Balls needed: 1
201 Shake chance is 99.998% || Chance to catch: 99.994% || AVG Balls needed: 1
202 Shake chance is 99.998% || Chance to catch: 99.994% || AVG Balls needed: 1
203 Shake chance is 99.998% || Chance to catch: 99.994% || AVG Balls needed: 1
204 Shake chance is 99.998% || Chance to catch: 99.994% || AVG Balls needed: 1
205 Shake chance is 99.998% || Chance to catch: 99.994% || AVG Balls needed: 1
206 Shake chance is 99.998% || Chance to catch: 99.994% || AVG Balls needed: 1
207 Shake chance is 99.998% || Chance to catch: 99.994% || AVG Balls needed: 1
208 Shake chance is 99.998% || Chance to catch: 99.994% || AVG Balls needed: 1
209 Shake chance is 99.998% || Chance to catch: 99.994% || AVG Balls needed: 1
210 Shake chance is 99.998% || Chance to catch: 99.994% || AVG Balls needed: 1
211 Shake chance is 99.998% || Chance to catch: 99.994% || AVG Balls needed: 1
212 Shake chance is 99.998% || Chance to catch: 99.994% || AVG Balls needed: 1
213 Shake chance is 99.998% || Chance to catch: 99.994% || AVG Balls needed: 1
214 Shake chance is 99.998% || Chance to catch: 99.994% || AVG Balls needed: 1
215 Shake chance is 99.998% || Chance to catch: 99.994% || AVG Balls needed: 1
216 Shake chance is 99.998% || Chance to catch: 99.994% || AVG Balls needed: 1
217 Shake chance is 99.998% || Chance to catch: 99.994% || AVG Balls needed: 1
218 Shake chance is 99.998% || Chance to catch: 99.994% || AVG Balls needed: 1
219 Shake chance is 99.998% || Chance to catch: 99.994% || AVG Balls needed: 1
220 Shake chance is 99.998% || Chance to catch: 99.994% || AVG Balls needed: 1
221 Shake chance is 99.998% || Chance to catch: 99.994% || AVG Balls needed: 1
222 Shake chance is 99.998% || Chance to catch: 99.994% || AVG Balls needed: 1
223 Shake chance is 99.998% || Chance to catch: 99.994% || AVG Balls needed: 1
224 Shake chance is 99.998% || Chance to catch: 99.994% || AVG Balls needed: 1
225 Shake chance is 99.998% || Chance to catch: 99.994% || AVG Balls needed: 1
226 Shake chance is 99.998% || Chance to catch: 99.994% || AVG Balls needed: 1
227 Shake chance is 99.998% || Chance to catch: 99.994% || AVG Balls needed: 1
228 Shake chance is 99.998% || Chance to catch: 99.994% || AVG Balls needed: 1
229 Shake chance is 99.998% || Chance to catch: 99.994% || AVG Balls needed: 1
230 Shake chance is 99.998% || Chance to catch: 99.994% || AVG Balls needed: 1
231 Shake chance is 99.998% || Chance to catch: 99.994% || AVG Balls needed: 1
232 Shake chance is 99.998% || Chance to catch: 99.994% || AVG Balls needed: 1
233 Shake chance is 99.998% || Chance to catch: 99.994% || AVG Balls needed: 1
234 Shake chance is 99.998% || Chance to catch: 99.994% || AVG Balls needed: 1
235 Shake chance is 99.998% || Chance to catch: 99.994% || AVG Balls needed: 1
236 Shake chance is 99.998% || Chance to catch: 99.994% || AVG Balls needed: 1
237 Shake chance is 99.998% || Chance to catch: 99.994% || AVG Balls needed: 1
238 Shake chance is 99.998% || Chance to catch: 99.994% || AVG Balls needed: 1
239 Shake chance is 99.998% || Chance to catch: 99.994% || AVG Balls needed: 1
240 Shake chance is 99.998% || Chance to catch: 99.994% || AVG Balls needed: 1
241 Shake chance is 99.998% || Chance to catch: 99.994% || AVG Balls needed: 1
242 Shake chance is 99.998% || Chance to catch: 99.994% || AVG Balls needed: 1
243 Shake chance is 99.998% || Chance to catch: 99.994% || AVG Balls needed: 1
244 Shake chance is 99.998% || Chance to catch: 99.994% || AVG Balls needed: 1
245 Shake chance is 99.998% || Chance to catch: 99.994% || AVG Balls needed: 1
246 Shake chance is 99.998% || Chance to catch: 99.994% || AVG Balls needed: 1
247 Shake chance is 99.998% || Chance to catch: 99.994% || AVG Balls needed: 1
248 Shake chance is 99.998% || Chance to catch: 99.994% || AVG Balls needed: 1
249 Shake chance is 99.998% || Chance to catch: 99.994% || AVG Balls needed: 1
250 Shake chance is 99.998% || Chance to catch: 99.994% || AVG Balls needed: 1
251 Shake chance is 99.998% || Chance to catch: 99.994% || AVG Balls needed: 1
252 Shake chance is 99.998% || Chance to catch: 99.994% || AVG Balls needed: 1
253 Shake chance is 99.998% || Chance to catch: 99.994% || AVG Balls needed: 1
254 Shake chance is 99.998% || Chance to catch: 99.994% || AVG Balls needed: 1
255 Shake chance is 99.998% || Chance to catch: 99.994% || AVG Balls needed: 1
Done
